 ಜಾಮಾ ಮಸೀದಿಯ ಗುಮ್ಮಟಕ್ಕೆ ಹಾನಿ? ಇಲ್ಲಿದೆ ವೈರಲ್\u200c ಫೋಟೋ ಅಸಲಿಯತ್ತು'],
" ಇ.ಡಿ. ಸಮನ್ಸ್\u200c ಬೆನ್ನಲ್ಲೇ ಸೋನಿಯಾ ಗಾಂಧಿ ಹಳೆ ವೀಡಿಯೊ ವೈರಲ್""]",
" ಬಿಜೆಪಿ ಕಚೇರಿಯಿಂದಲೇ 'ಸಾಮ್ರಾಟ್ ಪೃಥ್ವಿರಾಜ್' ಪ್ರಮೋಷನ್? ಅಕ್ಷಯ್-ಶಾ ವೈರಲ್\u200c ಫೋಟೋ ಸತ್ಯಾಂಶವೇನು?""]",
" 'ಗೋ ಬ್ಯಾಕ್\u200c ಮೋದಿ' ಎಂದ ತಮಿಳುನಾಡು ಬಿಜೆಪಿ ಶಾಸಕಿ? ಇಲ್ಲಿದೆ ವೈರಲ್\u200c ಫೋಟೋ ಅಸಲಿ ಕಹಾನಿ ""]",
 ಧಾರ್ಮಿಕ ಉಡುಗೆ ತೊಟ್ಟು KSRTC ಬಸ್\u200c ಓಡಿಸಿದ ಚಾಲಕ?  ವೈರಲ್\u200c ಚಿತ್ರದ ಹಿಂದಿನ ಸತ್ಯವೇನು?\u200c'],
 ಕ್ವಾಡ್ ಶೃಂಗದಲ್ಲಿ ಪ್ರಧಾನಿ ಮೋದಿ ಕಡೆಗಣಿಸಿದ ಜೋ ಬೈಡೆನ್\u200c? ವೈರಲ್\u200c ವಿಡಿಯೋ ಸತ್ಯಾಸತ್ಯತೆ ಏನು?'],
 ಕಚ್ಚಾ ಬಾದಾಮ್\u200c ಗಾಯಕ ಭುವನ್ ಬಡ್ಯಾಕರ್\u200cಗೆ ರೈಲ್ವೆಯಲ್ಲಿ ಮ್ಯಾನೇಜರ್\u200c ಕೆಲಸ?'],
 ವಾರಾಣಸಿಯ ನಂದಿ ವಿಗ್ರಹ ಎನ್ನಲಾದ ವೈರಲ್\u200c ಫೋಟೋ ಮಹಾರಾಷ್ಟ್ರದ್ದು'],
"['ಹೈಸ್ಕೂಲ್ ಪಠ್ಯದಲ್ಲಿ ಸಿದ್ಧಾರೂಢರ ಜಾತ್ರೆಯ ವೈಶಿಷ್ಟ್ಯ, ವೈರಲ್ ಸುದ್ದಿ ನಿಜಾವೋ ಸುಳ್ಳೋ..?']",
" ಕಾಂಗ್ರೆಸ್ ಚಿಂತನ ಶಿಬಿರದ ಮೇಲ್ಛಾವಣಿಗೆ ಪಾಕಿಸ್ತಾನ ಧ್ವಜದ ಬಣ್ಣ, ಕಾರ್ಪೆಟ್\u200c ಮಾತ್ರ ಕೇಸರಿ? ']",
 ಬ್ಯಾಂಕ್ ಆಫ್ ಇಂಗ್ಲೆಂಡ್ ಗವರ್ನರಾಗಿ ರಘುರಾಮ್ ರಾಜನ್ ನೇಮಕವಾಗಿಲ್ಲ,
" ಕ್ರಿಕೆಟ್\u200c ಆಡಿದ ಪ್ರಧಾನಿ ಮೋದಿ, ನಿಜನಾ ಇದು.?']",
" ತಮಿಳುನಾಡಿನಲ್ಲಿ ಮಸೀದಿಗಿಂತ, ದೇವಸ್ಥಾನಗಳಿಗೆ ಹೆಚ್ಚಿನ ವಿದ್ಯುತ್ ದರ ನಿಗದಿ.? ']",
